name,latitude,longitude,category,published_gen_headroom_mw,summer_midday_p50_mw,winter_evening_p50_mw,demand_headroom_ratio
Earls Barton,52.668153,-0.70937,Normal,6.3,1.9,2.8,0.3
Northampton West,52.595472,-0.718992,Normal,21.5,11.6,13.3,0.5
Ellesmere Avenue,53.078294,-0.798637,Normal,18.5,8.2,13.0,0.4
Chapel Brampton,53.167392,-0.712857,Normal,13.9,7.3,10.8,0.5
Banbury Lane,53.206017,-0.615559,Normal,14.1,5.8,8.1,0.4
Kingsthorpe,53.192534,-0.599573,Normal,18.1,7.4,10.4,0.4
Northampton,53.045958,-0.577,Normal,30.1,14.2,16.3,0.5
Wootton,53.242548,-0.539272,Normal,16.3,7.0,11.4,0.4
Wellingborough Road,53.17501,-0.535747,Normal,20.6,5.5,9.4,0.3
Boothville,53.086522,-0.223987,Normal,30.1,13.9,17.7,0.5
Field Street,52.041278,-0.746281,Normal,29.0,21.2,29.2,0.7
Denton,52.077762,-1.240992,Normal,6.4,1.9,3.1,0.3
Farndon Road,52.173735,-1.207833,Normal,6.6,5.3,8.4,0.8
Market Harborough,52.027206,-1.137751,Normal,15.5,6.9,12.2,0.4
Oundle,51.99615,-0.975886,Normal,7.3,3.9,7.3,0.5
Irthlingborough,52.074748,-1.031067,Normal,20.8,7.5,11.7,0.4
Shenley Wood,52.049314,-0.825504,Normal,17.8,6.3,8.6,0.4
Magna Park,51.951806,-0.883872,Normal,14.6,6.2,6.7,0.4
Eldergate,52.045037,-0.761691,Normal,17.4,3.2,3.5,0.2
Gresley,52.03356,-0.764661,Normal,14.4,10.4,13.7,0.7
Northampton East,51.990459,-0.753031,Normal,13.7,6.2,9.2,0.5
Brackley 11Kv,52.075935,-0.725875,Normal,3.4,2.2,5.0,0.7
Rugby Gateway,52.011855,-0.744248,Normal,14.7,0.3,1.3,0.0
Erin Road,52.048358,-0.706768,Normal,27.6,3.3,4.1,0.1
